restaurante,direccion,total_reservas,clientes_unicos,avg_comensales,tasa_completados_pct
Los del Valle,"Boulevard Las Américas 31-95 Zona 21, San Marcos",84,50,6.8,36.9
Campestre Bistro,"Avenida Guatemala Indígena 72-98 Zona 13, Santa Elena",84,50,6.1,29.8
El Rincón Moderno,"Avenida Guatemala Indígena 55-47 Zona 9, Sololá",84,50,6.6,34.5
Cantina de la Finca,"5 Calle 64-76 Zona 23, Mazatenango",84,50,6.3,32.1
Imperial Palace,"18 Calle 7-5 Zona 1, San Marcos",84,50,6.9,42.9
La Casa Artesanal,"Boulevard De León 5-82 Zona 23, Santa Elena",84,50,7.6,34.5
San Campestre,"28 Avenida 81-63 Zona 12, Santa Elena",84,50,6.1,34.5
Cantina Maya,"13 Avenida 78-69 Zona 12, Totonicapán",84,50,6.8,28.6
Cantina Verde,"Boulevard Guatemala Indígena 49-8 Zona 23, Santa Elena",84,50,6.1,36.9
Asados Artesanal,"28 Avenida 78-29 Zona 7, Antigua Guatemala",84,50,6.1,38.1
Fonda del Bosque,"Boulevard Los Próceres 52-44 Zona 23, Quetzaltenango",83,50,6.3,41.0
La Casa Moderno,"20 Avenida 32-76 Zona 9, Escuintla",83,50,6.2,32.5
La Mesa de la Finca,"9 Calle 65-87 Zona 24, Villa Nueva",83,50,7.0,33.7
Maya Express,"Boulevard España 35-46 Zona 24, Jalapa",83,50,6.0,42.2
Parrilla Artesanal,"4 Calle 56-54 Zona 11, Jutiapa",83,50,5.8,22.9
Parrilla Imperial,"24 Calle 78-77 Zona 5, Huehuetenango",83,50,6.5,28.9
Rústico Bistro,"9 Avenida 27-44 Zona 12, Retalhuleu",83,50,6.6,32.5
Sabores Rústico,"Avenida Sierra Nevada 91-3 Zona 2, Jalapa",83,50,5.9,31.3
San del Camino,"6 Avenida 21-71 Zona 10, San Marcos",83,50,6.3,24.1
Taberna del Pueblo,"Avenida Ciprés 91-71 Zona 2, San Marcos",83,50,6.4,39.8
Verde Express,"2 Calle 94-66 Zona 4, Retalhuleu",83,50,6.2,36.1
Colonial Palace,"Boulevard La Castellana 17-67 Zona 10, Retalhuleu",83,50,6.3,30.1
de la Abuela Palace,"Avenida De León 2-51 Zona 4, Sololá",83,50,6.6,30.1
de la Finca Bistro,"16 Calle 72-5 Zona 17, Villa Nueva",83,50,6.0,28.9
de la Plaza Grill,"20 Avenida 59-7 Zona 14, Huehuetenango",83,50,6.3,32.5
del Bosque Palace,"Boulevard Reforma 42-56 Zona 15, Zacapa",83,50,5.9,27.7
del Mercado Café,"18 Calle 35-46 Zona 22, Quetzaltenango",83,50,6.7,28.9
del Pueblo Café,"Avenida Guatemala Indígena 91-89 Zona 1, Mazatenango",83,50,6.9,30.1
del Valle Express,"16 Calle 82-65 Zona 10, Chimaltenango",83,50,6.4,36.1
Don Tradicional,"Boulevard La Castellana 96-43 Zona 23, Quetzaltenango",83,50,7.0,25.3
