seccion,hour_of_day,total_reservations,avg_party,pct
por_hora,11,205,6.8,8.20
por_hora,12,224,6.3,8.96
por_hora,13,234,6.3,9.36
por_hora,14,226,6.3,9.04
por_hora,15,227,6.4,9.08
por_hora,16,207,6.4,8.28
por_hora,17,245,6.9,9.80
por_hora,18,245,6.6,9.80
por_hora,19,238,6.2,9.52
por_hora,20,214,6.3,8.56
por_hora,21,235,6.3,9.40

seccion,day_name,total_reservations,avg_party
por_dia,Lun,389,6.5
por_dia,Mar,373,6.3
por_dia,Mié,336,6.3
por_dia,Jue,346,6.9
por_dia,Vie,373,6.4
por_dia,Sáb,353,6.3
por_dia,nan,330,6.4

seccion,day_name,hour_of_day,total_reservations
ventana_pico,Lun,18,45
ventana_pico,Jue,17,43
ventana_pico,Vie,13,43
ventana_pico,Vie,19,43
ventana_pico,Vie,14,42
ventana_pico,Mar,15,41
ventana_pico,nan,21,41
ventana_pico,Jue,21,41
ventana_pico,Vie,15,41
ventana_pico,Vie,18,40
ventana_pico,Mar,19,39
ventana_pico,Mar,12,39
ventana_pico,Mar,17,39
ventana_pico,Vie,17,38
ventana_pico,Vie,21,38
