year,month,total_reservations,total_guests,prev_month_reservations,growth_pct,moving_avg_3m
2024,6,205,1302,,,205.0
2024,7,203,1319,205.0,-0.98,204.0
2024,8,211,1342,203.0,3.94,206.3
2024,9,234,1507,211.0,10.9,216.0
2024,10,202,1265,234.0,-13.68,215.7
2024,11,189,1277,202.0,-6.44,208.3
2024,12,205,1278,189.0,8.47,198.7
2025,1,204,1331,205.0,-0.49,199.3
2025,2,204,1343,204.0,0.0,204.3
2025,3,234,1531,204.0,14.71,214.0
2025,4,198,1226,234.0,-15.38,212.0
2025,5,202,1294,198.0,2.02,211.3
2025,6,9,61,202.0,-95.54,136.3
