year,month,categoria,total_reservas,avg_comensales,ingreso_estimado_usd
2024,6,Bebidas,66,6.9,11400.00
2024,6,Carnes,66,6.9,11400.00
2024,6,Coctelería,66,6.9,11400.00
2024,6,Desayunos,66,6.9,11400.00
2024,6,Ensaladas,66,6.9,11400.00
2024,6,Entradas,66,6.9,11400.00
2024,6,Infantil,66,6.9,11400.00
2024,6,Mariscos,66,6.9,11400.00
2024,6,Pastas,66,6.9,11400.00
2024,6,Pizzas,66,6.9,11400.00
2024,6,Platos Fuertes,66,6.9,11400.00
2024,6,Postres,66,6.9,11400.00
2024,6,Sándwiches,66,6.9,11400.00
2024,6,Sopas,66,6.9,11400.00
2024,6,Tapas,66,6.9,11400.00
2024,6,Vegetariano,66,6.9,11400.00
2024,7,Bebidas,65,6.5,10600.00
2024,7,Carnes,65,6.5,10600.00
2024,7,Coctelería,65,6.5,10600.00
2024,7,Desayunos,65,6.5,10600.00
2024,7,Ensaladas,65,6.5,10600.00
2024,7,Entradas,65,6.5,10600.00
2024,7,Infantil,65,6.5,10600.00
2024,7,Mariscos,65,6.5,10600.00
2024,7,Pastas,65,6.5,10600.00
2024,7,Pizzas,65,6.5,10600.00
2024,7,Platos Fuertes,65,6.5,10600.00
2024,7,Postres,65,6.5,10600.00
2024,7,Sándwiches,65,6.5,10600.00
2024,7,Sopas,65,6.5,10600.00
2024,7,Tapas,65,6.5,10600.00
2024,7,Vegetariano,65,6.5,10600.00
2024,8,Bebidas,61,6.2,9450.00
2024,8,Carnes,61,6.2,9450.00
2024,8,Coctelería,61,6.2,9450.00
2024,8,Desayunos,61,6.2,9450.00
2024,8,Ensaladas,61,6.2,9450.00
2024,8,Entradas,61,6.2,9450.00
2024,8,Infantil,61,6.2,9450.00
2024,8,Mariscos,61,6.2,9450.00
2024,8,Pastas,61,6.2,9450.00
2024,8,Pizzas,61,6.2,9450.00
2024,8,Platos Fuertes,61,6.2,9450.00
2024,8,Postres,61,6.2,9450.00
2024,8,Sándwiches,61,6.2,9450.00
2024,8,Sopas,61,6.2,9450.00
2024,8,Tapas,61,6.2,9450.00
2024,8,Vegetariano,61,6.2,9450.00
2024,9,Bebidas,73,6.0,10900.00
2024,9,Carnes,73,6.0,10900.00
2024,9,Coctelería,73,6.0,10900.00
2024,9,Desayunos,73,6.0,10900.00
2024,9,Ensaladas,73,6.0,10900.00
2024,9,Entradas,73,6.0,10900.00
2024,9,Infantil,73,6.0,10900.00
2024,9,Mariscos,73,6.0,10900.00
2024,9,Pastas,73,6.0,10900.00
2024,9,Pizzas,73,6.0,10900.00
2024,9,Platos Fuertes,73,6.0,10900.00
2024,9,Postres,73,6.0,10900.00
2024,9,Sándwiches,73,6.0,10900.00
2024,9,Sopas,73,6.0,10900.00
2024,9,Tapas,73,6.0,10900.00
2024,9,Vegetariano,73,6.0,10900.00
2024,10,Bebidas,66,6.1,10100.00
2024,10,Carnes,66,6.1,10100.00
2024,10,Coctelería,66,6.1,10100.00
2024,10,Desayunos,66,6.1,10100.00
2024,10,Ensaladas,66,6.1,10100.00
2024,10,Entradas,66,6.1,10100.00
2024,10,Infantil,66,6.1,10100.00
2024,10,Mariscos,66,6.1,10100.00
2024,10,Pastas,66,6.1,10100.00
2024,10,Pizzas,66,6.1,10100.00
2024,10,Platos Fuertes,66,6.1,10100.00
2024,10,Postres,66,6.1,10100.00
2024,10,Sándwiches,66,6.1,10100.00
2024,10,Sopas,66,6.1,10100.00
2024,10,Tapas,66,6.1,10100.00
2024,10,Vegetariano,66,6.1,10100.00
2024,11,Bebidas,63,6.6,10350.00
2024,11,Carnes,63,6.6,10350.00
2024,11,Coctelería,63,6.6,10350.00
2024,11,Desayunos,63,6.6,10350.00
2024,11,Ensaladas,63,6.6,10350.00
2024,11,Entradas,63,6.6,10350.00
2024,11,Infantil,63,6.6,10350.00
2024,11,Mariscos,63,6.6,10350.00
2024,11,Pastas,63,6.6,10350.00
2024,11,Pizzas,63,6.6,10350.00
2024,11,Platos Fuertes,63,6.6,10350.00
2024,11,Postres,63,6.6,10350.00
2024,11,Sándwiches,63,6.6,10350.00
2024,11,Sopas,63,6.6,10350.00
2024,11,Tapas,63,6.6,10350.00
2024,11,Vegetariano,63,6.6,10350.00
2024,12,Bebidas,72,6.2,11075.00
2024,12,Carnes,72,6.2,11075.00
2024,12,Coctelería,72,6.2,11075.00
2024,12,Desayunos,72,6.2,11075.00
2024,12,Ensaladas,72,6.2,11075.00
2024,12,Entradas,72,6.2,11075.00
2024,12,Infantil,72,6.2,11075.00
2024,12,Mariscos,72,6.2,11075.00
2024,12,Pastas,72,6.2,11075.00
2024,12,Pizzas,72,6.2,11075.00
2024,12,Platos Fuertes,72,6.2,11075.00
2024,12,Postres,72,6.2,11075.00
2024,12,Sándwiches,72,6.2,11075.00
2024,12,Sopas,72,6.2,11075.00
2024,12,Tapas,72,6.2,11075.00
2024,12,Vegetariano,72,6.2,11075.00
2025,1,Bebidas,60,6.2,9325.00
2025,1,Carnes,60,6.2,9325.00
2025,1,Coctelería,60,6.2,9325.00
2025,1,Desayunos,60,6.2,9325.00
2025,1,Ensaladas,60,6.2,9325.00
2025,1,Entradas,60,6.2,9325.00
2025,1,Infantil,60,6.2,9325.00
2025,1,Mariscos,60,6.2,9325.00
2025,1,Pastas,60,6.2,9325.00
2025,1,Pizzas,60,6.2,9325.00
2025,1,Platos Fuertes,60,6.2,9325.00
2025,1,Postres,60,6.2,9325.00
2025,1,Sándwiches,60,6.2,9325.00
2025,1,Sopas,60,6.2,9325.00
2025,1,Tapas,60,6.2,9325.00
2025,1,Vegetariano,60,6.2,9325.00
2025,2,Bebidas,61,6.2,9525.00
2025,2,Carnes,61,6.2,9525.00
2025,2,Coctelería,61,6.2,9525.00
2025,2,Desayunos,61,6.2,9525.00
2025,2,Ensaladas,61,6.2,9525.00
2025,2,Entradas,61,6.2,9525.00
2025,2,Infantil,61,6.2,9525.00
2025,2,Mariscos,61,6.2,9525.00
2025,2,Pastas,61,6.2,9525.00
2025,2,Pizzas,61,6.2,9525.00
2025,2,Platos Fuertes,61,6.2,9525.00
2025,2,Postres,61,6.2,9525.00
2025,2,Sándwiches,61,6.2,9525.00
2025,2,Sopas,61,6.2,9525.00
2025,2,Tapas,61,6.2,9525.00
2025,2,Vegetariano,61,6.2,9525.00
2025,3,Bebidas,86,6.2,13275.00
2025,3,Carnes,86,6.2,13275.00
2025,3,Coctelería,86,6.2,13275.00
2025,3,Desayunos,86,6.2,13275.00
2025,3,Ensaladas,86,6.2,13275.00
2025,3,Entradas,86,6.2,13275.00
2025,3,Infantil,86,6.2,13275.00
2025,3,Mariscos,86,6.2,13275.00
2025,3,Pastas,86,6.2,13275.00
2025,3,Pizzas,86,6.2,13275.00
2025,3,Platos Fuertes,86,6.2,13275.00
2025,3,Postres,86,6.2,13275.00
2025,3,Sándwiches,86,6.2,13275.00
2025,3,Sopas,86,6.2,13275.00
2025,3,Tapas,86,6.2,13275.00
2025,3,Vegetariano,86,6.2,13275.00
2025,4,Bebidas,71,6.0,10625.00
2025,4,Carnes,71,6.0,10625.00
2025,4,Coctelería,71,6.0,10625.00
2025,4,Desayunos,71,6.0,10625.00
2025,4,Ensaladas,71,6.0,10625.00
2025,4,Entradas,71,6.0,10625.00
2025,4,Infantil,71,6.0,10625.00
2025,4,Mariscos,71,6.0,10625.00
2025,4,Pastas,71,6.0,10625.00
2025,4,Pizzas,71,6.0,10625.00
2025,4,Platos Fuertes,71,6.0,10625.00
2025,4,Postres,71,6.0,10625.00
2025,4,Sándwiches,71,6.0,10625.00
2025,4,Sopas,71,6.0,10625.00
2025,4,Tapas,71,6.0,10625.00
2025,4,Vegetariano,71,6.0,10625.00
2025,5,Bebidas,74,6.9,12675.00
2025,5,Carnes,74,6.9,12675.00
2025,5,Coctelería,74,6.9,12675.00
2025,5,Desayunos,74,6.9,12675.00
2025,5,Ensaladas,74,6.9,12675.00
2025,5,Entradas,74,6.9,12675.00
2025,5,Infantil,74,6.9,12675.00
2025,5,Mariscos,74,6.9,12675.00
2025,5,Pastas,74,6.9,12675.00
2025,5,Pizzas,74,6.9,12675.00
2025,5,Platos Fuertes,74,6.9,12675.00
2025,5,Postres,74,6.9,12675.00
2025,5,Sándwiches,74,6.9,12675.00
2025,5,Sopas,74,6.9,12675.00
2025,5,Tapas,74,6.9,12675.00
2025,5,Vegetariano,74,6.9,12675.00
2025,6,Bebidas,2,8.0,400.00
2025,6,Carnes,2,8.0,400.00
2025,6,Coctelería,2,8.0,400.00
2025,6,Desayunos,2,8.0,400.00
2025,6,Ensaladas,2,8.0,400.00
2025,6,Entradas,2,8.0,400.00
2025,6,Infantil,2,8.0,400.00
2025,6,Mariscos,2,8.0,400.00
2025,6,Pastas,2,8.0,400.00
2025,6,Pizzas,2,8.0,400.00
2025,6,Platos Fuertes,2,8.0,400.00
2025,6,Postres,2,8.0,400.00
2025,6,Sándwiches,2,8.0,400.00
2025,6,Sopas,2,8.0,400.00
2025,6,Tapas,2,8.0,400.00
2025,6,Vegetariano,2,8.0,400.00
