year,month,estado,total,porcentaje
2024,6,cancelled,27,27.55
2024,6,completed,71,72.45
2024,7,cancelled,28,31.46
2024,7,completed,61,68.54
2024,8,cancelled,36,34.29
2024,8,completed,69,65.71
2024,9,cancelled,36,33.33
2024,9,completed,72,66.67
2024,10,cancelled,30,34.88
2024,10,completed,56,65.12
2024,11,cancelled,34,30.63
2024,11,completed,77,69.37
2024,12,cancelled,29,27.88
2024,12,completed,75,72.12
2025,1,cancelled,31,33.33
2025,1,completed,62,66.67
2025,2,cancelled,31,28.70
2025,2,completed,77,71.30
2025,3,cancelled,44,38.60
2025,3,completed,70,61.40
2025,4,cancelled,34,34.34
2025,4,completed,65,65.66
2025,5,cancelled,38,34.55
2025,5,completed,72,65.45
2025,6,cancelled,5,62.50
2025,6,completed,3,37.50
