restaurant_name,avg_party_size,total_reservations
Campestre Bistro,6.1,84
San Campestre,6.1,84
Cantina Verde,6.1,84
La Casa Artesanal,7.6,84
Imperial Palace,6.9,84
Cantina de la Finca,6.3,84
Asados Artesanal,6.1,84
Cantina Maya,6.8,84
El Rincón Moderno,6.6,84
Los del Valle,6.8,84
de la Finca Bistro,6.0,83
de la Plaza Grill,6.3,83
de la Abuela Palace,6.6,83
La Mesa de la Finca,7.0,83
del Mercado Café,6.7,83
Sabores Rústico,5.9,83
del Bosque Palace,5.9,83
Fonda del Bosque,6.3,83
Maya Express,6.0,83
San del Camino,6.3,83
Colonial Palace,6.3,83
La Casa Moderno,6.2,83
Don Tradicional,7.0,83
Rústico Bistro,6.6,83
del Valle Express,6.4,83
Taberna del Pueblo,6.4,83
del Pueblo Café,6.9,83
Parrilla Imperial,6.5,83
Verde Express,6.2,83
Parrilla Artesanal,5.8,83
