restaurant_name,total_reservations,avg_party,completion_rate_pct
Sabores del Pueblo,84,7.0,45.2
La Mesa Colonial,84,6.6,31.0
San Rústico,84,6.1,34.5
Fonda del Chef,84,6.5,27.4
San Dorado,84,5.8,31.0
Taberna de la Luna,84,6.6,27.4
La Mesa Nuevo,84,7.1,33.3
Los Moderno,84,6.0,29.8
Los del Valle,84,5.9,32.1
La Mesa del Lago,84,6.3,32.1
El Sazón Rústico,83,6.3,34.9
La Mesa del Bosque,83,6.5,36.1
Taberna Verde,83,6.7,30.1
de Doña María Grill,83,6.6,28.9
Taberna del Volcán,83,7.2,32.5
Cantina Verde,83,6.5,33.7
Fonda Maya,83,6.3,38.6
San del Pueblo,83,6.4,38.6
La Mesa de Doña María,83,6.4,28.9
del Chef Express,83,6.7,41.0
Imperial Café,83,7.1,37.3
Cantina Dorado,83,6.7,54.2
Sabores Imperial,83,6.1,30.1
Parrilla del Sol,83,6.5,24.1
Chapín Bistro,83,6.6,27.7
Doña Dorado,83,6.4,32.5
La Casa del Chef,83,6.5,30.1
del Volcán Bistro,83,6.8,31.3
del Chef Café,83,6.4,34.9
Don del Camino,83,6.4,26.5
